PS_BU,REG_STORE_NUM,REGION,STORE_NAME,STORE_ABBR,POSTYPE,ADDR1,ADDR2,CITY,STATE_PROVINCE,POSTAL_CODE,COUNTRY,PHONE,FAX,SERVERNAME,LASTUSER,TIMESTAMP
10555,82,MA,Easton,EST,IBM::EST,4100 Easton Gateway Drive,NULL,Columbus,OH,43219,USA,614-536-0570,NULL,MAEST,MDM,9/2/2015 9:30
10109,120,SP,West Hollywood,HOL,RTX::PST,7871 Santa Monica Blvd,NULL,West Hollywood,CA,90046,USA,323.848.4200,512.499.7142,SPHOL,MDM,11/1/2012 20:19
10045,1009,SP,West Los Angeles,WLA,RTX::PST,11666 National Blvd,NULL,Los Angeles,CA,90064,USA,310.996.8840,310.996.9510,SPWLA,blantona,7/8/2008 15:19
10099,116,SP,Woodland Hills,WDH,RTX::PST,21347 Ventura Blvd,NULL,Woodland Hills,CA,91364,USA,818.610.0000,512.499.7104,SPWDH,MDM,11/1/2012 20:19
10084,115,SP,Tempe,TEM,RTX::PST,5120 S. Rural,NULL,Tempe,AZ,85282,USA,480.456.1400,480.456.1490,SPTEM,MDM,11/1/2012 20:19
10034,3001,SW,Sixth (closed),SIX,CLOSED,601 N. Lamar Blvd,Suite 100,Austin,TX,78703,USA,512.476.1206,512.477.4293,SWSIX,kaluzaj,6/15/2005 10:45
10036,2,SW,Gateway,GWY,ACS::CST,9607 Research Blvd #300,NULL,Austin,TX,78759,USA,512.345.5003,512.345.5331,SWGWY,MDM,2/14/2014 13:36
10083,337,RM,Pearl,PRL,IBM::MST,2905 Pearl St,NULL,Boulder,CO,80301,USA,303.545.6611,303.545.6633,RMPRL,MDM,11/1/2012 20:19
10095,342,RM,Cherry Creek,CCK,IBM::MST,2375 East 1st,NULL,Denver,CO,80206,USA,720.941.4100,720.941.8999,RMCCK,MDM,10/1/2013 8:10
10142,345,RM,Highlands Ranch,HLR,IBM::MST,9366 S. Colorado Blvd  Ste B,NULL,Highlands Ranch,CO,80126,USA,303.470.6003,303.470.7366,RMHLR,MDM,11/1/2012 20:19
10002,3006,SW,Greenville(Closed),DLS,Closed,2218 Lower Greenville Ave,NULL,Dallas,TX,75206,USA,214.824.1744,214.824.2730,SWDLS,blantona,3/2/2009 16:25
10098,339,SW,Parkway,PKY,ACS::CST,801 East Lamar,NULL,Arlington,TX,76011,USA,817.461.9362,817.461.1688,SWPKY,MDM,11/1/2012 20:19
10089,3013,SW,Preston (Closed),PRS,CLOSED,11661 Preston Rd  Suite 224,NULL,Dallas,TX,75230,USA,214.361.8887,214.361.9169,SWPRS,kaluzaj,12/6/2006 10:20
10028,3007,SW,Skillman (closed),SKL,CLOSED,7205 Skillman St,NULL,Dallas,TX,75231,USA,214.341.5445,214.341.3350,SWSKL,kaluzaj,6/15/2005 10:44
10030,336,SW,Plano,PLN,ACS::CST,2201 Preston Rd,Suite C,Plano,TX,75093,USA,972.612.6729,972.867.0414,SWPLN,MDM,11/1/2012 20:19
10004,307,SW,Richardson,RIC,CLOSED,60 Dal-Rich Village,NULL,Richardson,TX,75080,USA,972.699.8075,972.699.9419,SWRIC,MDM,7/3/2013 10:44
10115,341,SW,Kirby,KIR,ACS::CST,2955 Kirby Dr,NULL,Houston,TX,77098,USA,713.520.1937,713.520.0265,SWKIR,MDM,11/1/2012 20:19
10007,3004,SW,Wilcrest,WIL,ACS::CST,11145 Westheimer Rd,NULL,Houston,TX,77042,USA,713.784.7776,713.954.3768,SWWIL,blantona,2/19/2008 15:40
10025,310,SW,Woodway,WWY,CLOSED,6401 Woodway Dr #149,NULL,Houston,TX,77057,USA,713.789.4477,713.789.9419,SWWWY,MDM,4/6/2015 9:54
10134,343,SW,Bellaire,BEL,ACS::CST,4004 Bellaire Blvd,NULL,Houston,TX,77025,USA,713.667.4090,713.667.4013,SWBEL,MDM,11/1/2012 20:19
10003,3010,SW,Esplanade (Closed),ESP,CLOSED,3135 Esplanade,NULL,New Orleans,LA,70119,USA,504.943.1626,504.947.7901,SWESP,kaluzaj,6/13/2005 9:53
10075,309,SW,Alamo Quarry,QRY,ACS::CST,255 E. Basse Rd  Ste 130,NULL,San Antonio,TX,78209,USA,210.826.4676,210.930.3388,SWQRY,MDM,11/1/2012 20:19
10104,340,RM,Cerrillos,CER,IBM::MST,753 Cerrillos Rd,NULL,Santa Fe,NM,87501,USA,505.992.1700,505.992.2988,RMCER,MDM,6/13/2013 11:30
10047,5003,MA,Rockville (Closed),RKV,CLOSED,1649 Rockville Pike,NULL,Rockville,MD,20852,USA,301.984.4880,301.816.1897,MARKV,Karen.Sm,4/11/2011 13:55
