Acro	Name	Status	AddressLine1	AddressLine2	AddressLine3	City	County	State	Zip	Region	Country	CBSA	Longitude	Latitude	Open/Acq Date	Metro	BU	TimeZone Code
BCA	Boca Raton	open	1400 Glades Road	Ste 110		Boca Raton	Palm Beach	FL	33486	Florida	USA	"Miami-Fort Lauderdale et al, FL"	-80.114501	26.365658	4/25/2001	MET_FL	10130	EST
BHL	Orlando	open	8003 Turkey Lake Road			Orlando	Orange	FL	32836	Florida	USA	"Orlando-Kissimmee, FL"	-81.477447	28.446793	6/25/2008	MET_FL	10194	EST
BIS	Biscayne	open	21105 Biscayne Blvd			Aventura	Miami-Dade	FL	33180	Florida	USA	"Miami-Fort Lauderdale et al, FL"	-80.140821	25.971134	5/5/1999	MET_FL	10096	EST
CGB	Coral Gables	open	6701 Red Road			Coral Gables	Miami-Dade	FL	33146	Florida	USA	"Miami-Fort Lauderdale et al, FL"	-80.284659	25.706282	9/26/2007	MET_FL	10190	EST
CSP	Coral Springs	open	810 University Drive			Coral Springs	Broward	FL	33071	Florida	USA	"Miami-Fort Lauderdale et al, FL"	-80.25685	26.24299	9/17/1998	MET_FL	10088	EST
CWD	Carrollwood	open	3802 Northdale Blvd.			Tampa	Hillsborough	FL	33624	Florida	USA	"Tampa-St. Petersburg et al, FL"	-82.502973	28.093138	11/1/2012	MET_FL	10339	EST
FTL	Ft. Lauderdale	open	2000 North Federal Highway			Fort Lauderdale	Broward	FL	33305	Florida	USA	"Miami-Fort Lauderdale et al, FL"	-80.117585	26.153671	8/22/2001	MET_FL	10117	EST
JAX	Jacksonville	open	10601 San Jose Blvd.			Jacksonville	Duval	FL	32257	Florida	USA	"Jacksonville, FL"	-81.625542	30.186014	12/10/2008	MET_FL	10253	EST
NPL	Naples	open	9101 Strada Place			Naples	Collier	FL	34108	Florida	USA	"Naples-Marco Island, FL"	-81.798101	26.252808	9/5/2008	MET_FL	10192	EST
PCR	Pinecrest	open	11701 S Dixie Hwy			Miami	Miami-Dade	FL	33156	Florida	USA	"Miami-Fort Lauderdale et al, FL"	-80.324703	25.662244	9/28/2007	MET_FL	10274	EST
PEM	Pembroke Pines	open	14956 Pines Blvd			Pembroke Pines	Broward	FL	33027	Florida	USA	"Miami-Fort Lauderdale et al, FL"	-80.346037	26.005587	3/28/2012	MET_FL	10193	EST
PGA	Palm Beach Gardens	open	11701 Lake Victoria Gardens Drive			Palm Bch Gardens	Palm Beach	FL	33410	Florida	USA	"Miami-Fort Lauderdale et al, FL"	-80.093873	26.847567	10/26/2005	MET_FL	10188	EST
PLA	Plantation	open	7720 Peters Road			Plantation	Broward	FL	33324	Florida	USA	"Miami-Fort Lauderdale et al, FL"	-80.25202	26.10417	4/14/1997	MET_FL	10069	EST
SAR	Sarasota	open	1451 First Street			Sarasota	Sarasota	FL	34236	Florida	USA	"Sarasota-Bradenton-Venice, FL"	-82.541217	27.337654	12/8/2004	MET_FL	10189	EST
SBE	South Beach	open	1020 Alton Rd			Miami Beach	Miami-Dade	FL	33139	Florida	USA	"Miami-Fort Lauderdale et al, FL"	-80.14119	25.780968	9/28/2007	MET_FL	10285	EST
SSC	San Souci	open	12150 Biscayne Blvd			North Miami	Miami-Dade	FL	33181	Florida	USA	"Miami-Fort Lauderdale et al, FL"	-80.165673	25.888008	5/1/2013	MET_FL	10477	EST
